[2024/8/19 9:0:0] 物品:强效魔法药	怪物:0D8576B0祖玛雕像8	地图:H007	X:97	Y:54 
[2024/8/19 9:0:0] 物品:海魂	怪物:0D8576B0祖玛雕像8	地图:H007	X:97	Y:54 
[2024/8/19 9:0:1] 物品:金创药(小量)	怪物:1C13ABD0僵尸4	地图:H201	X:23	Y:94 
[2024/8/19 9:0:2] 物品:施毒术	怪物:1B764570僵尸40	地图:H201	X:61	Y:28 
[2024/8/19 9:0:2] 物品:召唤骷髅	怪物:1B764570僵尸40	地图:H201	X:61	Y:28 
[2024/8/19 9:0:2] 物品:地狱火	怪物:1B764570僵尸40	地图:H201	X:61	Y:28 
[2024/8/19 9:0:2] 物品:抗拒火环	怪物:1B764570僵尸40	地图:H201	X:61	Y:28 
[2024/8/19 9:0:2] 物品:精神力战法	怪物:1B764570僵尸40	地图:H201	X:61	Y:28 
[2024/8/19 9:0:2] 物品:火球术	怪物:1B764570僵尸40	地图:H201	X:61	Y:28 
[2024/8/19 9:0:2] 物品:治愈术	怪物:1B764570僵尸40	地图:H201	X:61	Y:28 
[2024/8/19 9:0:2] 物品:基本剑术	怪物:1B764570僵尸40	地图:H201	X:61	Y:28 
[2024/8/19 9:0:2] 物品:凌风	怪物:1B764570僵尸40	地图:H201	X:61	Y:28 
[2024/8/19 9:0:2] 物品:琥珀项链	怪物:1B764570僵尸40	地图:H201	X:61	Y:28 
[2024/8/19 9:0:2] 物品:精神力战法	怪物:29BA19A0僵尸1	地图:H201	X:24	Y:94 
[2024/8/19 9:0:2] 物品:强效金创药	怪物:19065FE0魔龙射手	地图:66	X:78	Y:257 
[2024/8/19 9:0:4] 物品:金创药(小量)	怪物:1E939500僵尸4	地图:H201	X:62	Y:28 
[2024/8/19 9:0:4] 物品:太阳水	怪物:2A04D540火焰沃玛0	地图:D022	X:386	Y:305 
[2024/8/19 9:0:4] 物品:金创药(中量)	怪物:2A04D540火焰沃玛0	地图:D022	X:386	Y:305 
[2024/8/19 9:0:4] 物品:魔法药(中量)	怪物:2A04D540火焰沃玛0	地图:D022	X:386	Y:305 
[2024/8/19 9:0:6] 物品:强效太阳水	怪物:2F0DE1C0沃玛卫士8	地图:H204	X:17	Y:44 
[2024/8/19 9:0:6] 物品:强效太阳水	怪物:2F0DE1C0沃玛卫士8	地图:H204	X:17	Y:44 
[2024/8/19 9:0:6] 物品:强效太阳水	怪物:2F0DE1C0沃玛卫士8	地图:H204	X:17	Y:44 
[2024/8/19 9:0:6] 物品:强效太阳水	怪物:2F0DE1C0沃玛卫士8	地图:H204	X:17	Y:44 
