[2024/8/21 6:0:5] 物品:骷髅头盔	怪物:2CC570D0祖玛弓箭手8	地图:H204	X:54	Y:53 
[2024/8/21 6:0:5] 物品:生铁戒指	怪物:2CC570D0祖玛弓箭手8	地图:H204	X:54	Y:53 
[2024/8/21 6:0:6] 物品:偃月	怪物:25606E90祖玛卫士8	地图:H204	X:45	Y:49 
[2024/8/21 6:0:6] 物品:坚固手套	怪物:25606E90祖玛卫士8	地图:H204	X:45	Y:49 
[2024/8/21 6:0:6] 物品:重盔甲(男)	怪物:259B0C50祖玛卫士8	地图:H204	X:49	Y:50 
[2024/8/21 6:0:6] 物品:凤凰明珠	怪物:259B0C50祖玛卫士8	地图:H204	X:49	Y:50 
[2024/8/21 6:0:7] 物品:太阳水	怪物:25DAEC30祖玛弓箭手8	地图:H204	X:29	Y:68 
[2024/8/21 6:0:7] 物品:金手镯	怪物:24839F70祖玛弓箭手8	地图:H204	X:46	Y:52 
[2024/8/21 6:0:9] 物品:小手镯	怪物:2A97E6A0祖玛雕像8	地图:H204	X:45	Y:48 
[2024/8/21 6:0:11] 物品:金创药(中量)	怪物:25C7D280祖玛弓箭手8	地图:H204	X:22	Y:66 
[2024/8/21 6:0:12] 物品:太阳水	怪物:25526AC0祖玛弓箭手8	地图:H204	X:43	Y:47 
[2024/8/21 6:0:13] 物品:竹笛	怪物:2348B190祖玛雕像8	地图:H204	X:22	Y:67 
[2024/8/21 6:0:16] 物品:太阳水	怪物:25322B90祖玛雕像8	地图:H204	X:45	Y:57 
[2024/8/21 6:0:17] 物品:放大镜	怪物:25743BF0祖玛卫士8	地图:H204	X:31	Y:78 
[2024/8/21 6:0:22] 物品:蛇眼戒指	怪物:250F7940祖玛弓箭手8	地图:H204	X:31	Y:70 
[2024/8/21 6:0:43] 物品:强效太阳水	怪物:234B5580祖玛弓箭手8	地图:H204	X:41	Y:42 
[2024/8/21 6:0:49] 物品:金创药(中量)	怪物:129F1F80祖玛卫士8	地图:H204	X:40	Y:40 
[2024/8/21 6:0:49] 物品:道士手镯	怪物:129F1F80祖玛卫士8	地图:H204	X:40	Y:40 
[2024/8/21 6:0:52] 物品:凤凰明珠	怪物:2C9475F0祖玛弓箭手8	地图:H204	X:35	Y:36 
[2024/8/21 6:0:52] 物品:小手镯	怪物:2C9475F0祖玛弓箭手8	地图:H204	X:35	Y:36 
[2024/8/21 6:0:53] 物品:竹笛	怪物:128FCCD0祖玛弓箭手8	地图:H204	X:60	Y:42 
[2024/8/21 6:0:58] 物品:魔法药(中量)	怪物:25FAF760祖玛弓箭手8	地图:H204	X:33	Y:30 
[2024/8/21 6:1:1] 物品:太阳水	怪物:2AC210D0祖玛弓箭手8	地图:H204	X:63	Y:40 
[2024/8/21 6:1:2] 物品:魔法药(中量)	怪物:257F30B0祖玛卫士8	地图:H204	X:33	Y:29 
[2024/8/21 6:1:2] 物品:珊瑚戒指	怪物:257F30B0祖玛卫士8	地图:H204	X:33	Y:29 
[2024/8/21 6:1:10] 物品:黑檀手镯	怪物:23A86AE0祖玛卫士8	地图:H204	X:69	Y:28 
[2024/8/21 6:1:10] 物品:金手镯	怪物:23A86AE0祖玛卫士8	地图:H204	X:69	Y:28 
[2024/8/21 6:1:11] 物品:小手镯	怪物:25BF44B0祖玛弓箭手8	地图:H204	X:26	Y:32 
[2024/8/21 6:1:19] 物品:魅力戒指	怪物:29E0A580跳跳蜂8	地图:H004	X:102	Y:95 
[2024/8/21 6:1:24] 物品:八荒	怪物:25CAD990祖玛卫士8	地图:H204	X:76	Y:25 
[2024/8/21 6:1:24] 物品:魔鬼项链	怪物:25CAD990祖玛卫士8	地图:H204	X:76	Y:25 
[2024/8/21 6:1:26] 物品:强效太阳水	怪物:25932C10祖玛雕像8	地图:H204	X:76	Y:26 
[2024/8/21 6:1:30] 物品:魔法药(中量)	怪物:26BCAC00祖玛弓箭手8	地图:H204	X:74	Y:22 
[2024/8/21 6:1:30] 物品:黑檀手镯	怪物:26BCAC00祖玛弓箭手8	地图:H204	X:74	Y:22 
[2024/8/21 6:1:31] 物品:降魔	怪物:24C4F1E0祖玛弓箭手8	地图:H204	X:26	Y:21 
[2024/8/21 6:1:31] 物品:降魔	怪物:136FDA00祖玛弓箭手8	地图:H204	X:25	Y:22 
[2024/8/21 6:1:44] 物品:强效金创药	怪物:24C011C0祖玛弓箭手8	地图:H204	X:80	Y:39 
[2024/8/21 6:1:45] 物品:重盔甲(男)	怪物:2AB73540祖玛雕像8	地图:H204	X:80	Y:38 
[2024/8/21 6:1:45] 物品:坚固手套	怪物:2AB73540祖玛雕像8	地图:H204	X:80	Y:38 
[2024/8/21 6:1:51] 物品:白金项链	怪物:25BA2920祖玛弓箭手8	地图:H204	X:13	Y:49 
[2024/8/21 6:1:52] 物品:强效金创药	怪物:13FDF4D0祖玛弓箭手8	地图:H204	X:64	Y:22 
[2024/8/21 6:2:1] 物品:金手镯	怪物:25E92210巨型蠕虫8	地图:H004	X:100	Y:113 
[2024/8/21 6:2:3] 物品:金戒指	怪物:2B5BFB70祖玛弓箭手8	地图:H204	X:55	Y:12 
[2024/8/21 6:2:7] 物品:凤凰明珠	怪物:25935870祖玛弓箭手8	地图:H204	X:50	Y:13 
[2024/8/21 6:2:7] 物品:黑檀手镯	怪物:25935870祖玛弓箭手8	地图:H204	X:50	Y:13 
[2024/8/21 6:2:10] 物品:强效金创药	怪物:233A7550祖玛雕像8	地图:H204	X:49	Y:11 
[2024/8/21 6:2:10] 物品:骷髅头盔	怪物:233A7550祖玛雕像8	地图:H204	X:49	Y:11 
[2024/8/21 6:2:13] 物品:偃月	怪物:2C4AEE70祖玛卫士8	地图:H204	X:48	Y:12 
[2024/8/21 6:2:25] 物品:降魔	怪物:2537C410祖玛卫士8	地图:H204	X:70	Y:75 
[2024/8/21 6:2:25] 物品:蛇眼戒指	怪物:2537C410祖玛卫士8	地图:H204	X:70	Y:75 
[2024/8/21 6:2:31] 物品:蛇眼戒指	怪物:2CA8C9B0祖玛雕像8	地图:H204	X:76	Y:77 
