[2024/8/22 15:0:5] 物品:金创药(小量)	怪物:2400A840僵尸5	地图:H201	X:32	Y:95 
[2024/8/22 15:0:5] 物品:幽灵盾	怪物:13DDAC10恶灵尸王	地图:H201	X:32	Y:96 
[2024/8/22 15:0:5] 物品:爆裂火焰	怪物:13DDAC10恶灵尸王	地图:H201	X:32	Y:96 
[2024/8/22 15:0:5] 物品:施毒术	怪物:13DDAC10恶灵尸王	地图:H201	X:32	Y:96 
[2024/8/22 15:0:5] 物品:灵魂火符	怪物:13DDAC10恶灵尸王	地图:H201	X:32	Y:96 
[2024/8/22 15:0:5] 物品:召唤骷髅	怪物:13DDAC10恶灵尸王	地图:H201	X:32	Y:96 
[2024/8/22 15:0:5] 物品:瞬息移动	怪物:13DDAC10恶灵尸王	地图:H201	X:32	Y:96 
[2024/8/22 15:0:6] 物品:金创药(小量)	怪物:2C74EC10僵尸4	地图:H201	X:30	Y:96 
[2024/8/22 15:0:7] 物品:魔法药(小量)	怪物:22E7F840僵尸5	地图:H201	X:35	Y:95 
[2024/8/22 15:0:7] 物品:金创药(小量)	怪物:25386260僵尸5	地图:H201	X:36	Y:95 
[2024/8/22 15:0:8] 物品:金手镯	怪物:24F8C950巨型蠕虫8	地图:H004	X:129	Y:117 
[2024/8/22 15:0:11] 物品:金创药(小量)	怪物:1EC373A0僵尸5	地图:H201	X:34	Y:99 
[2024/8/22 15:0:14] 物品:魔法药(小量)	怪物:2400A840僵尸5	地图:H201	X:30	Y:97 
[2024/8/22 15:0:14] 物品:金创药(小量)	怪物:161F6B30僵尸4	地图:H201	X:34	Y:92 
[2024/8/22 15:0:16] 物品:地狱火	怪物:163B81C0僵尸50	地图:H201	X:29	Y:98 
[2024/8/22 15:0:16] 物品:诱惑之光	怪物:163B81C0僵尸50	地图:H201	X:29	Y:98 
[2024/8/22 15:0:16] 物品:抗拒火环	怪物:163B81C0僵尸50	地图:H201	X:29	Y:98 
[2024/8/22 15:0:16] 物品:精神力战法	怪物:163B81C0僵尸50	地图:H201	X:29	Y:98 
[2024/8/22 15:0:16] 物品:火球术	怪物:163B81C0僵尸50	地图:H201	X:29	Y:98 
[2024/8/22 15:0:16] 物品:治愈术	怪物:163B81C0僵尸50	地图:H201	X:29	Y:98 
[2024/8/22 15:0:16] 物品:基本剑术	怪物:163B81C0僵尸50	地图:H201	X:29	Y:98 
[2024/8/22 15:0:16] 物品:半月	怪物:163B81C0僵尸50	地图:H201	X:29	Y:98 
[2024/8/22 15:0:16] 物品:海魂	怪物:163B81C0僵尸50	地图:H201	X:29	Y:98 
[2024/8/22 15:0:16] 物品:凌风	怪物:163B81C0僵尸50	地图:H201	X:29	Y:98 
[2024/8/22 15:0:16] 物品:坚固手套	怪物:163B81C0僵尸50	地图:H201	X:29	Y:98 
[2024/8/22 15:0:16] 物品:魔力手镯	怪物:163B81C0僵尸50	地图:H201	X:29	Y:98 
[2024/8/22 15:0:16] 物品:铁剑	怪物:163B81C0僵尸50	地图:H201	X:29	Y:98 
[2024/8/22 15:0:16] 物品:短剑	怪物:163B81C0僵尸50	地图:H201	X:29	Y:98 
