[2024/8/20 22:0:6] 物品:强效魔法药	怪物:2D49B460魔龙刀兵	地图:65	X:137	Y:64 
[2024/8/20 22:0:6] 物品:强效太阳水	怪物:217B1E60魔龙破甲兵	地图:65	X:138	Y:62 
[2024/8/20 22:0:8] 物品:金手镯	怪物:17F849B0魔龙射手	地图:66	X:92	Y:197 
[2024/8/20 22:0:8] 物品:黑檀手镯	怪物:17F849B0魔龙射手	地图:66	X:92	Y:197 
[2024/8/20 22:0:12] 物品:强效金创药	怪物:30A0F830魔龙射手1	地图:65	X:134	Y:68 
[2024/8/20 22:0:12] 物品:强效太阳水	怪物:30A0F830魔龙射手1	地图:65	X:134	Y:68 
[2024/8/20 22:0:12] 物品:珊瑚戒指	怪物:30A0F830魔龙射手1	地图:65	X:134	Y:68 
[2024/8/20 22:0:16] 物品:强效魔法药	怪物:2F4FB590魔龙刀兵	地图:66	X:89	Y:117 
[2024/8/20 22:0:35] 物品:强效金创药	怪物:0D778910魔龙射手	地图:66	X:85	Y:130 
[2024/8/20 22:0:35] 物品:降妖除魔戒指	怪物:0D778910魔龙射手	地图:66	X:85	Y:130 
[2024/8/20 22:0:36] 物品:强效魔法药	怪物:2063A7F0魔龙射手	地图:65	X:130	Y:73 
[2024/8/20 22:0:36] 物品:竹笛	怪物:2063A7F0魔龙射手	地图:65	X:130	Y:73 
[2024/8/20 22:0:36] 物品:凝霜	怪物:2063A7F0魔龙射手	地图:65	X:130	Y:73 
[2024/8/20 22:0:42] 物品:强效魔法药	怪物:1BA0A020魔龙破甲兵2	地图:66	X:92	Y:200 
[2024/8/20 22:0:42] 物品:太阳水	怪物:1BA0A020魔龙破甲兵2	地图:66	X:92	Y:200 
[2024/8/20 22:0:44] 物品:太阳水	怪物:30CBBB50魔龙射手	地图:66	X:79	Y:127 
[2024/8/20 22:0:44] 物品:强效金创药	怪物:30CBBB50魔龙射手	地图:66	X:79	Y:127 
[2024/8/20 22:0:44] 物品:凝霜	怪物:30CBBB50魔龙射手	地图:66	X:79	Y:127 
[2024/8/20 22:0:45] 物品:太阳水	怪物:2D74E730魔龙破甲兵1	地图:65	X:132	Y:72 
[2024/8/20 22:0:46] 物品:强效金创药	怪物:301572F0魔龙邪眼	地图:66	X:81	Y:127 
[2024/8/20 22:0:52] 物品:强效金创药	怪物:06260720魔龙射手	地图:66	X:87	Y:196 
[2024/8/20 22:0:55] 物品:强效魔法药	怪物:2DA18A90魔龙射手1	地图:65	X:124	Y:74 
[2024/8/20 22:0:57] 物品:布鞋	怪物:1C66E460魔龙破甲兵1	地图:66	X:81	Y:127 
[2024/8/20 22:0:57] 物品:放大镜	怪物:1C66E460魔龙破甲兵1	地图:66	X:81	Y:127 
[2024/8/20 22:0:57] 物品:金手镯	怪物:1C66E460魔龙破甲兵1	地图:66	X:81	Y:127 
[2024/8/20 22:1:3] 物品:强效金创药	怪物:291EBF10魔龙射手2	地图:65	X:120	Y:75 
[2024/8/20 22:1:5] 物品:太阳水	怪物:302F0010魔龙射手	地图:66	X:84	Y:206 
[2024/8/20 22:1:5] 物品:强效魔法药	怪物:302F0010魔龙射手	地图:66	X:84	Y:206 
[2024/8/20 22:1:7] 物品:太阳水	怪物:28C1CCE0魔龙破甲兵	地图:66	X:78	Y:132 
