[2024/8/21 10:0:0] 物品:灯笼项链	怪物:1397B340祖玛卫士8	地图:H204	X:67	Y:80 
[2024/8/21 10:0:5] 物品:魔法药(中量)	怪物:1376B6F0祖玛雕像8	地图:H204	X:33	Y:29 
[2024/8/21 10:0:6] 物品:降妖除魔戒指	怪物:2C462C70祖玛卫士8	地图:H204	X:67	Y:80 
[2024/8/21 10:0:10] 物品:强效魔法药	怪物:22E46F00魔龙破甲兵	地图:66	X:161	Y:174 
[2024/8/21 10:0:19] 物品:黑檀手镯	怪物:166ED160祖玛雕像8	地图:H204	X:32	Y:33 
[2024/8/21 10:0:19] 物品:魔法长袍(女)	怪物:1AAAF750蜈蚣	地图:D601	X:176	Y:41 
[2024/8/21 10:0:22] 物品:黑色水晶戒指	怪物:24900780祖玛弓箭手8	地图:H204	X:79	Y:80 
[2024/8/21 10:0:30] 物品:强效太阳水	怪物:29013000祖玛雕像8	地图:H204	X:66	Y:68 
[2024/8/21 10:0:30] 物品:竹笛	怪物:29013000祖玛雕像8	地图:H204	X:66	Y:68 
[2024/8/21 10:0:34] 物品:魔鬼项链	怪物:1ABC8B70祖玛雕像8	地图:H204	X:43	Y:44 
[2024/8/21 10:0:34] 物品:金创药(中量)	怪物:1841B9B0僵尸2	地图:D422	X:149	Y:221 
[2024/8/21 10:0:38] 物品:强效魔法药	怪物:25C12210魔龙刀兵1	地图:66	X:161	Y:174 
[2024/8/21 10:0:40] 物品:黑色水晶戒指	怪物:1AE39100巨型蠕虫	地图:D601	X:175	Y:43 
[2024/8/21 10:0:45] 物品:重盔甲(男)	怪物:1AABBF00祖玛弓箭手8	地图:H204	X:62	Y:64 
[2024/8/21 10:0:54] 物品:魔鬼项链	怪物:18903E30祖玛卫士8	地图:H204	X:43	Y:53 
[2024/8/21 10:0:56] 物品:凝霜	怪物:290C7C20祖玛卫士8	地图:H204	X:43	Y:53 
[2024/8/21 10:1:0] 物品:骷髅头盔	怪物:065E1ED0祖玛弓箭手8	地图:H204	X:65	Y:61 
[2024/8/21 10:1:1] 物品:强效太阳水	怪物:11F52DC0祖玛弓箭手8	地图:H204	X:42	Y:57 
[2024/8/21 10:1:1] 物品:白金项链	怪物:11F52DC0祖玛弓箭手8	地图:H204	X:42	Y:57 
[2024/8/21 10:1:4] 物品:魔法药(中量)	怪物:239A6040祖玛弓箭手8	地图:H204	X:68	Y:64 
[2024/8/21 10:1:14] 物品:魔法长袍(男)	怪物:13EABE90祖玛卫士8	地图:H204	X:37	Y:61 
[2024/8/21 10:1:17] 物品:道士手镯	怪物:18421270祖玛弓箭手8	地图:H204	X:52	Y:56 
[2024/8/21 10:1:20] 物品:太阳水	怪物:184623C0僵尸2	地图:D422	X:155	Y:243 
[2024/8/21 10:1:24] 物品:强效金创药	怪物:0F496D50魔龙射手2	地图:66	X:157	Y:184 
[2024/8/21 10:1:31] 物品:修罗	怪物:28DB40B0祖玛卫士8	地图:H204	X:60	Y:39 
[2024/8/21 10:1:35] 物品:道德戒指	怪物:178F2280祖玛卫士8	地图:H204	X:61	Y:39 
[2024/8/21 10:1:42] 物品:凌风	怪物:249C99F0祖玛雕像8	地图:H204	X:19	Y:77 
[2024/8/21 10:1:44] 物品:琥珀项链	怪物:248E13E0祖玛卫士8	地图:H204	X:19	Y:78 
[2024/8/21 10:1:44] 物品:强效金创药	怪物:28C7F660祖玛弓箭手8	地图:H204	X:16	Y:80 
[2024/8/21 10:1:44] 物品:降魔	怪物:28C7F660祖玛弓箭手8	地图:H204	X:16	Y:80 
[2024/8/21 10:1:44] 物品:道士手镯	怪物:230599F0魔龙射手	地图:66	X:157	Y:181 
[2024/8/21 10:1:57] 物品:金手镯	怪物:28C7CA00魔龙破甲兵	地图:66	X:153	Y:179 
[2024/8/21 10:1:58] 物品:魔法手镯	怪物:2BBDED30祖玛卫士8	地图:H204	X:65	Y:24 
[2024/8/21 10:1:58] 物品:黑色水晶戒指	怪物:2BBDED30祖玛卫士8	地图:H204	X:65	Y:24 
[2024/8/21 10:2:0] 物品:修罗	怪物:2BEE3D90祖玛卫士8	地图:H204	X:63	Y:22 
[2024/8/21 10:2:1] 物品:太阳水	怪物:1ACF8FA0蜈蚣	地图:D601	X:177	Y:31 
[2024/8/21 10:2:3] 物品:重盔甲(男)	怪物:1847F5B0祖玛雕像8	地图:H204	X:65	Y:23 
[2024/8/21 10:2:14] 物品:强效魔法药	怪物:249CF2B0魔龙射手	地图:66	X:165	Y:188 
[2024/8/21 10:2:14] 物品:半月	怪物:18579F70祖玛卫士8	地图:H204	X:82	Y:66 
[2024/8/21 10:2:14] 物品:灯笼项链	怪物:18579F70祖玛卫士8	地图:H204	X:82	Y:66 
[2024/8/21 10:2:19] 物品:生铁戒指	怪物:24AFE660祖玛卫士8	地图:H204	X:77	Y:25 
[2024/8/21 10:2:19] 物品:蛇眼戒指	怪物:24AFE660祖玛卫士8	地图:H204	X:77	Y:25 
[2024/8/21 10:2:19] 物品:强效金创药	怪物:2C821640魔龙血蛙	地图:66	X:165	Y:190 
[2024/8/21 10:2:31] 物品:强效金创药	怪物:2CAC98C0魔龙破甲兵	地图:66	X:168	Y:184 
[2024/8/21 10:2:38] 物品:珊瑚戒指	怪物:1AC53770祖玛弓箭手8	地图:H204	X:79	Y:26 
[2024/8/21 10:2:44] 物品:诱惑之光	怪物:18552F70僵尸5	地图:D422	X:152	Y:251 
[2024/8/21 10:2:51] 物品:强效金创药	怪物:2BEDA240魔龙破甲兵	地图:66	X:174	Y:180 
[2024/8/21 10:3:4] 物品:轻型盔甲(男)	怪物:1ADDDF10黑色恶蛆	地图:D601	X:186	Y:40 
[2024/8/21 10:3:23] 物品:泰坦戒指	怪物:2C0213B0魔龙刀兵1	地图:66	X:175	Y:189 
[2024/8/21 10:3:42] 物品:魔法药(小量)	怪物:13A10C80稻草人	地图:0	X:485	Y:428 
[2024/8/21 10:3:43] 物品:蓝翡翠项链	怪物:2BBB0A50魔龙破甲兵	地图:66	X:172	Y:190 
[2024/8/21 10:4:2] 物品:魔法长袍(男)	怪物:257E6900祖玛卫士8	地图:H204	X:20	Y:39 
[2024/8/21 10:4:9] 物品:乌木剑	怪物:12A28990钉耙猫	地图:0	X:498	Y:449 
[2024/8/21 10:4:11] 物品:斩马刀	怪物:1ADB2D30祖玛卫士8	地图:H204	X:21	Y:37 
[2024/8/21 10:4:29] 物品:强效魔法药	怪物:22DDE8A0魔龙破甲兵	地图:66	X:185	Y:188 
[2024/8/21 10:4:33] 物品:金创药(小量)	怪物:18386E20僵尸4	地图:D422	X:151	Y:262 
[2024/8/21 10:4:43] 物品:魔法长袍(男)	怪物:24868360骷髅刀斧手8	地图:H005	X:126	Y:40 
[2024/8/21 10:5:3] 物品:太阳水	怪物:136BC260森林雪人	地图:0	X:515	Y:396 
[2024/8/21 10:5:3] 物品:强效魔法药	怪物:25F81610魔龙射手	地图:66	X:204	Y:205 
[2024/8/21 10:5:8] 物品:魔法药(小量)	怪物:18361710僵尸4	地图:D422	X:150	Y:267 
[2024/8/21 10:5:32] 物品:魔法长袍(男)	怪物:1396BF30魔龙破甲兵	地图:66	X:211	Y:190 
[2024/8/21 10:5:49] 物品:道德戒指	怪物:1AE37AD0魔龙破甲兵	地图:66	X:225	Y:196 
[2024/8/21 10:6:12] 物品:金创药(小量)	怪物:12B1CE90稻草人	地图:0	X:530	Y:357 
[2024/8/21 10:6:23] 物品:金创药(小量)	怪物:183B1C70僵尸4	地图:D422	X:143	Y:279 
[2024/8/21 10:6:23] 物品:魔法药(小量)	怪物:183B1C70僵尸4	地图:D422	X:143	Y:279 
[2024/8/21 10:6:33] 物品:铁手镯	怪物:12A6F3A0多钩猫	地图:0	X:538	Y:338 
[2024/8/21 10:6:45] 物品:古铜戒指	怪物:136D51C0森林雪人	地图:0	X:548	Y:344 
[2024/8/21 10:6:49] 物品:强效金创药	怪物:1AAB5010魔龙破甲兵	地图:66	X:193	Y:154 
